year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
2013,5,19,1802,58,1926,39,UA,N13716,1687,EWR,ORD,100,719,18,2
2013,5,8,12,227,241,188,UA,N518UA,771,JFK,LAX,308,2475,0,12
2013,10,10,1558,-1,1718,-13,UA,N17244,1622,EWR,ORD,106,719,15,58
2013,1,23,1012,-3,1325,-15,US,N668AW,75,EWR,PHX,292,2133,10,12
2013,1,10,1829,19,2133,13,UA,N37462,1292,EWR,FLL,139,1065,18,29
2013,3,23,806,-4,1102,-28,DL,N952DL,2143,JFK,MIA,151,1089,8,6
2013,6,21,1854,-5,2122,1,FL,N967AT,778,LGA,ATL,104,762,18,54
2013,7,3,1802,-3,1929,-21,AA,N3GBAA,353,LGA,ORD,110,733,18,2
2013,10,16,636,-4,858,-7,DL,N390DA,27,JFK,ATL,109,760,6,36
2013,9,12,824,-5,1025,4,DL,N330NW,1157,EWR,MSP,149,1008,8,24
2013,11,30,1453,-2,1546,-23,DL,N330NW,1164,JFK,BOS,32,187,14,53
2013,8,20,1824,25,2102,4,UA,N597UA,535,JFK,LAX,300,2475,18,24
2013,5,9,1245,-5,1433,-21,DL,N338NB,1131,LGA,DTW,77,502,12,45
2013,5,22,1150,5,1432,7,UA,N19136,1519,EWR,MCO,132,937,11,50
2013,2,14,1635,-5,1943,8,UA,N672UA,404,EWR,IAH,211,1400,16,35
2013,6,10,1453,5,1803,23,UA,N445UA,528,LGA,IAH,200,1416,14,53
2013,9,12,1547,52,1703,49,DL,N325US,1164,JFK,BOS,38,187,15,47
2013,2,14,723,54,1008,38,UA,N422UA,451,LGA,IAH,204,1416,7,23
2013,3,31,1942,7,2231,-8,DL,N324US,1435,LGA,TPA,150,1010,19,42
2013,8,2,759,-1,953,-23,DL,N359NB,2457,LGA,MSY,149,1183,7,59
2013,12,1,828,-2,1130,-13,UA,N578UA,653,EWR,LAX,335,2454,8,28
2013,4,7,1811,10,1959,20,UA,N36444,1246,EWR,ORD,123,719,18,11
2013,8,8,1249,-1,1614,27,DL,N378DA,1375,JFK,SLC,287,1990,12,49
2013,11,24,1505,-5,1756,-39,AA,N3BAAA,1327,LGA,PBI,148,1035,15,5
2013,2,3,1748,-3,2057,-6,UA,N525UA,535,JFK,LAX,349,2475,17,48
2013,1,21,1730,0,2040,17,UA,N39297,1637,EWR,TPA,160,997,17,30
2013,6,30,700,0,949,-11,DL,N3761R,1415,JFK,SLC,262,1990,7,0
2013,4,7,815,-5,917,-13,AA,N3JTAA,1838,JFK,BOS,40,187,8,15
2013,6,1,1624,-6,1841,-37,DL,N398DA,1621,JFK,DEN,222,1626,16,24
2013,4,1,1931,91,2102,82,UA,N832UA,597,EWR,ORD,112,719,19,31
2013,6,28,625,-5,757,2,AA,N3ADAA,303,LGA,ORD,101,733,6,25
2013,8,18,854,-6,944,-30,UA,N535UA,432,EWR,BOS,35,200,8,54
2013,11,21,1638,39,1758,26,UA,N37253,1572,EWR,ORD,121,719,16,38
2013,10,16,1707,-8,1909,4,AA,N559AA,345,LGA,ORD,124,733,17,7
2013,2,13,1724,-6,2002,-2,FL,N309AT,623,LGA,ATL,136,762,17,24
2013,6,11,1155,-5,1257,-20,DL,N351NB,1006,JFK,BOS,39,187,11,55
2013,5,24,755,-5,902,-2,US,N949UW,2118,LGA,BOS,42,184,7,55
2013,7,12,656,-4,940,-7,DL,N984DL,2285,LGA,MCO,136,950,6,56
2013,11,16,822,-3,1038,9,US,N178US,752,JFK,CLT,94,541,8,22
2013,10,18,1534,5,1841,-6,UA,N36280,1246,EWR,SFO,338,2565,15,34
2013,5,8,NA,NA,NA,NA,US,,2179,LGA,DCA,NA,214,NA,NA
2013,3,21,1252,-8,1416,-24,AA,N594AA,329,LGA,ORD,106,733,12,52
2013,5,27,1657,-3,2036,-18,DL,N3754A,329,JFK,SJU,186,1598,16,57
2013,8,20,626,-4,914,-9,UA,N596UA,236,JFK,LAX,312,2475,6,26
2013,6,3,1554,-1,1845,-6,UA,N32404,1593,EWR,MCO,135,937,15,54
2013,7,12,1619,129,1914,164,FL,N919AT,349,LGA,ATL,138,762,16,19
2013,1,29,955,-5,1134,-35,US,N755US,1277,LGA,CLT,82,544,9,55
2013,11,23,1629,-1,1936,-7,DL,N3760C,1394,JFK,PDX,334,2454,16,29
2013,11,29,1624,-1,1744,-14,UA,N15710,1554,EWR,ORD,114,719,16,24
2013,12,10,NA,NA,NA,NA,AA,N5DSAA,2285,JFK,MCO,NA,944,NA,NA
2013,7,7,1755,20,1919,13,DL,N374NW,2383,LGA,PWM,45,269,17,55
2013,6,21,1657,-3,1809,-6,US,N961UW,2136,LGA,BOS,32,184,16,57
2013,6,22,727,-3,1008,-23,DL,N709TW,1771,JFK,SEA,315,2422,7,27
2013,1,18,1859,3,2157,-7,UA,N496UA,891,LGA,IAH,208,1416,18,59
2013,10,2,1859,0,2157,-2,UA,N24702,1259,LGA,IAH,195,1416,18,59
2013,4,1,1036,67,1301,49,UA,N586UA,652,EWR,LAS,309,2227,10,36
2013,8,30,823,-7,1000,-55,UA,N809UA,447,EWR,PHX,260,2133,8,23
2013,12,14,653,18,913,12,UA,N39461,1162,EWR,DEN,231,1605,6,53
2013,2,5,1256,-4,1409,3,US,N965UW,2128,LGA,BOS,31,184,12,56
2013,1,6,1853,-2,22,27,AA,N5EBAA,1613,JFK,SJU,203,1598,18,53
2013,3,3,1920,-5,2218,-25,DL,N920DL,2139,LGA,MIA,151,1096,19,20
2013,6,19,2057,2,13,15,UA,N73278,1224,EWR,LAX,316,2454,20,57
2013,4,6,942,13,1159,-13,UA,N511UA,321,EWR,LAS,293,2227,9,42
2013,3,12,1943,163,2213,143,AA,N631AA,575,JFK,EGE,240,1746,19,43
2013,3,22,1401,2,1622,-7,DL,N659DL,2247,LGA,ATL,113,762,14,1
2013,2,21,451,-9,628,-20,US,N565UW,1117,EWR,CLT,82,529,4,51
2013,11,25,2028,9,2334,-11,UA,N17245,1224,EWR,LAX,335,2454,20,28
2013,5,8,1317,-1,1616,-3,UA,N12125,1217,EWR,LAX,325,2454,13,17
2013,12,17,2157,67,13,125,DL,N981DL,2599,JFK,BOS,40,187,21,57
2013,10,13,1624,-6,1931,-9,AA,N324AA,181,JFK,LAX,327,2475,16,24
2013,9,19,748,-2,1026,-18,UA,N556UA,297,EWR,LAX,314,2454,7,48
2013,8,22,1558,25,1838,-1,UA,N510UA,449,EWR,SFO,320,2565,15,58
2013,3,8,751,-4,955,-12,US,N554UW,1733,LGA,CLT,79,544,7,51
2013,1,16,1915,-5,2133,33,AA,N3CVAA,359,LGA,ORD,165,733,19,15
2013,10,3,1536,16,1729,24,AA,N544AA,341,LGA,ORD,117,733,15,36
2013,11,28,802,-3,1257,-7,AA,N5FPAA,1357,JFK,SJU,212,1598,8,2
2013,8,5,2023,-6,2345,12,UA,N504UA,543,EWR,SFO,340,2565,20,23
2013,5,1,625,-5,824,-8,US,N555AY,1433,LGA,CLT,88,544,6,25
2013,7,23,2003,28,12,70,DL,N6714Q,87,JFK,SLC,281,1990,20,3
2013,4,4,828,-3,1122,-29,UA,N57864,1223,EWR,LAX,320,2454,8,28
2013,7,12,1151,-4,1456,2,DL,N3730B,1174,LGA,PBI,144,1035,11,51
2013,5,17,2103,50,2358,54,UA,N27724,1711,EWR,IAH,195,1400,21,3
2013,8,9,657,-8,945,-30,AA,N3GEAA,2279,LGA,MIA,142,1096,6,57
2013,9,19,2022,5,2142,-17,UA,N13716,1464,EWR,CLE,61,404,20,22
2013,2,5,1228,-7,1532,-3,UA,N27239,1186,EWR,MIA,168,1085,12,28
2013,7,19,1053,-7,1335,-14,DL,N981DL,695,JFK,MCO,128,944,10,53
2013,11,12,845,0,1147,-24,UA,N39423,1581,EWR,SEA,324,2402,8,45
2013,6,4,1924,-6,2101,-16,DL,N318NB,975,LGA,PIT,57,335,19,24
2013,12,12,1352,-8,1502,-13,US,N705UW,2183,LGA,DCA,45,214,13,52
2013,10,17,2058,-1,2348,-10,UA,N38467,1416,EWR,MCO,134,937,20,58
2013,6,11,649,-10,930,-29,UA,N36207,1060,EWR,PDX,326,2434,6,49
2013,8,9,1623,33,1859,14,AA,N3FHAA,763,LGA,DFW,184,1389,16,23
2013,5,21,1434,-11,1605,-20,AA,N598AA,2223,LGA,STL,125,888,14,34
2013,10,18,1308,-7,1452,-13,US,N126UW,2095,EWR,CLT,83,529,13,8
2013,7,17,543,-2,805,-8,UA,N571UA,698,LGA,IAH,179,1416,5,43
2013,1,19,1732,104,2039,74,DL,N37700,1773,JFK,SLC,289,1990,17,32
2013,1,15,1008,-8,1239,9,DL,N966DL,2319,LGA,MSP,180,1020,10,8
2013,8,30,623,-7,737,-28,AA,N474AA,303,LGA,ORD,110,733,6,23
2013,5,4,746,-4,1134,-21,AA,N5FKAA,655,JFK,STT,196,1623,7,46
2013,1,17,1908,13,2130,-12,DL,N195DN,951,JFK,ATL,117,760,19,8
2013,7,17,1402,3,1624,-26,UA,N37274,1211,EWR,LAX,300,2454,14,2
2013,6,24,1336,36,1450,25,UA,N18119,1734,EWR,ORD,101,719,13,36
2013,4,30,1540,-5,1757,-6,DL,N357NB,1942,EWR,ATL,101,746,15,40
2013,8,13,824,-1,1136,32,DL,N3767,857,JFK,SAN,339,2446,8,24
2013,7,2,1926,-3,2136,-36,UA,N78438,1222,EWR,LAS,273,2227,19,26
2013,2,6,1211,-1,1527,-24,UA,N38451,1227,EWR,PHX,298,2133,12,11
2013,8,12,1142,72,1527,102,AA,N336AA,179,JFK,SFO,372,2586,11,42
2013,3,12,1831,2,2032,-42,UA,N12116,1729,EWR,LAS,283,2227,18,31
2013,1,4,1131,6,1559,-18,UA,N45440,1661,EWR,SJU,194,1608,11,31
2013,8,2,857,32,1154,50,DL,N3733Z,857,JFK,SAN,323,2446,8,57
2013,10,24,1409,-6,1548,-2,AA,N4XGAA,1170,LGA,STL,136,888,14,9
2013,9,6,1439,-6,1656,-62,UA,N560UA,841,JFK,LAX,292,2475,14,39
2013,10,2,1858,-2,2053,-40,DL,N389DA,245,JFK,PHX,272,2153,18,58
2013,10,23,853,13,1224,39,UA,N31412,1401,EWR,MIA,168,1085,8,53
2013,4,29,1858,26,2149,-6,UA,N828UA,722,EWR,LAX,316,2454,18,58
2013,10,11,1449,-1,1646,-6,US,N170US,1995,LGA,CLT,77,544,14,49
2013,11,28,1718,18,1924,1,UA,N817UA,237,EWR,DEN,227,1605,17,18
2013,5,6,757,-8,1105,2,DL,N352NW,2395,LGA,PBI,146,1035,7,57
