State,CCN,Provider,Address,City,Zip,Phone,Ownership,PT,DateCertified,Rating,Grade
AL,17000,ALABAMA DEPARTMENT OF PUBLIC HEALTH HOME CARE     ,"201 MONROE STREET, THE RSA TOWER,  SUITE 1200                                                       ",MONTGOMERY          ,36104,3342065341,Official Health Agency,Yes,7/1/1966 0:00,,
AL,17009,ALACARE HOME HEALTH & HOSPICE                     ,2970 LORNA ROAD                                                                                     ,BIRMINGHAM          ,35216,2058242680,Local,Yes,1/18/1973 0:00,4,92
AL,17013,KINDRED AT HOME                                   ,1239 RUCKER BLVD                                                                                    ,ENTERPRISE          ,36330,3343470234,Official Health Agency,Yes,7/24/1975 0:00,5,92
AL,17014,AMEDISYS HOME HEALTH                              ,68278 MAIN STREET                                                                                   ,BLOUNTSVILLE        ,35031,8664864919,Local,Yes,9/4/1975 0:00,5,93
AL,17016,SOUTHEAST ALABAMA HOMECARE                        ,804 GLOVER AVENUE                                                                                   ,ENTERPRISE          ,36330,3343474800,Local,Yes,6/9/1976 0:00,5,92
AL,17018,KINDRED AT HOME                                   ,"3225 RAINBOW STREET, SUITE 256                                                                      ",RAINBOW CITY        ,35906,2564421138,Local,Yes,1/1/1977 0:00,5,94
AL,17020,AMEDISYS HOME HEALTH CARE                         ,"273 AZALEA ROAD, SUITE 204, BLDG 2                                                                  ",MOBILE              ,36609,2513800492,Local,Yes,5/23/1977 0:00,4,89
AL,17024,SOUTHEAST ALABAMA HOMECARE                        ,"1435 ROSS CLARK CIRCLE, SUITE 2                                                                     ",DOTHAN              ,36301,3347940591,Local,Yes,6/1/1978 0:00,4,89
AL,17025,SAAD HEALTHCARE                                   ,"1515 UNIVERSITY BLVD, SOUTH                                                                         ",MOBILE              ,36609,2513439600,Local,Yes,12/28/1978 0:00,3,90
AL,17026,KINDRED AT HOME                                   ,"2200 RIVERCHASE PARKWAY, BUILDING 700                                                               ",BIRMINGHAM          ,35244,2057397800,Local,Yes,3/29/1979 0:00,4,90
AL,17027,DECATUR MORGAN HOMECARE                           ,"2708 HIGHWAY 31 SOUTH, SUITE B                                                                      ",DECATUR             ,35603,2563504182,Local,Yes,7/25/1979 0:00,5,91
AL,17028,CENTRAL ALABAMA HOMECARE                          ,345 WALKER CHAPEL PLAZA                                                                             ,FULTONDALE          ,35068,2057837900,Visiting Nurse Association,Yes,6/1/1979 0:00,5,95
AL,17034,COMFORT CARE COASTAL HOME HEALTH                  ,1390 NORTH MCKENZIE STREET                                                                          ,FAIRHOPE            ,36532,2516214431,Local,Yes,5/26/1981 0:00,4,90
AL,17035,INFIRMARY HOMECARE                                ,1142-A MONTLIMAR DRIVE                                                                              ,MOBILE              ,36609,2514503300,Local,Yes,8/20/1981 0:00,3,87
AL,17037,BAPTIST HOME HEALTH                               ,"451 ST. LUKES DRIVE, SUITE 451                                                                      ",MONTGOMERY          ,36117,3343955100,Local,Yes,10/1/1981 0:00,3,86
AL,17039,AMEDISYS HOME HEALTH OF HUNTSVILLE                ,"250 CHATEAU DRIVE SW, SUITE 245                                                                     ",HUNTSVILLE          ,35801,2568851665,Local,Yes,8/5/1982 0:00,3,87
AL,17048,KINDRED AT HOME                                   ,101 NORTH LINCOLN STREET                                                                            ,GENEVA              ,36340,3346843919,Local,Yes,12/8/1983 0:00,5,95
AL,17050,SPECTRUM HOME HEALTH AGENCY                       ,"1310 PULASKI PIKE, UNIT A                                                                           ",HUNTSVILLE          ,35816,2565394457,Local,Yes,10/19/1983 0:00,2,84
AL,17051,AMEDISYS HOME HEALTH LAKESHORE OF BIRMINGHAM      ,"2204 LAKESHORE DRIVE, SUITE 110                                                                     ",HOMEWOOD            ,35209,2058680147,Local,Yes,6/1/1984 0:00,4,91
AL,17052,KINDRED AT HOME                                   ,1628 NORTH MCKENZIE STREET                                                                          ,FOLEY               ,36535,2519433002,Local,Yes,9/20/1984 0:00,5,92
AL,17053,ENCOMPASS HOME HEALTH OF ALABAMA                  ,"205 GRACELAND DRIVE, SUITE 3                                                                        ",DOTHAN              ,36305,3347935758,Local,Yes,8/20/1984 0:00,4,90
AL,17054,KINDRED AT HOME                                   ,1108 EAST PARK DRIVE                                                                                ,BIRMINGHAM          ,35235,2058360777,Local,Yes,9/4/1984 0:00,4,91
AL,17055,KINDRED AT HOME                                   ,1988 FAIRVIEW AVENUE                                                                                ,PRATTVILLE          ,36066,3343619806,Local,Yes,6/8/1984 0:00,5,92
AL,17056,KINDRED AT HOME                                   ,"11123 CHANTILLY PARKWAY, UNIT L                                                                     ",PIKE ROAD           ,36064,3342701151,Local,Yes,12/3/1984 0:00,3,87
AL,17058,KINDRED AT HOME                                   ,"9037 INDEPENDENCE AVENUE, SUITE B                                                                   ",DAPHNE              ,36526,2516210882,Local,Yes,10/25/1984 0:00,5,92
AL,17063,INTREPID USA HEALTHCARE SERVICES                  ,"200 CENTURY PARK SOUTH, SUITE 116                                                                   ",BIRMINGHAM          ,35226,2058773403,Official Health Agency,Yes,12/5/1985 0:00,3,90
AL,17066,SPRINGHILL HOME HEALTH AND HOSPICE                ,10 MOBILE STREET                                                                                    ,MOBILE              ,36607,2514338172,Local,Yes,2/24/1986 0:00,4,90
AL,17067,INTREPID USA HEALTHCARE SERVICES                  ,"4141 WALL STREET, SUITE 4141                                                                        ",MONTGOMERY          ,36106,3342707913,Local,Yes,5/9/1986 0:00,,86
AL,17069,AMEDISYS HOME HEALTH OF FOLEY                     ,1809 N MCKENZIE STREET                                                                              ,FOLEY               ,36535,8007636382,Official Health Agency,Yes,7/1/1986 0:00,5,93
AL,17070,AMEDISYS HOME HEALTH OF CITRONELLE                ,"19375 NORTH 3RD STREET, SUITE 101                                                                   ",CITRONELLE          ,36522,2518663261,Official Health Agency,Yes,7/1/1986 0:00,4,90
AL,17071,KINDRED AT HOME                                   ,20 ALMON DRIVE SUITE C                                                                              ,MOULTON             ,35650,2569742741,Local,Yes,8/21/1986 0:00,5,93
AL,17072,AMEDISYS HOME HEALTH OF GREENVILLE                ,525 GREENVILLE BYPASS                                                                               ,GREENVILLE          ,36037,3343822042,Local,Yes,2/5/1987 0:00,5,90
AL,17078,AMEDISYS HOME HEALTH OF REFORM                    ,315 1ST STREET SOUTH                                                                                ,REFORM              ,35481,8002777445,Local,Yes,6/12/1990 0:00,5,94
AL,17079,ENCOMPASS HEALTH HOME HEALTH                      ,PO BOX 547                                                                                          ,VERNON              ,35592,2056956736,Local,Yes,12/21/1990 0:00,,
AL,17080,DCH HOME HEALTH CARE AGENCY                       ,1401 GREENSBORO AVENUE                                                                              ,TUSCALOOSA          ,35401,2057597010,Hospital Based Program,Yes,5/2/1991 0:00,5,93
